                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.27892,                0.32159,                0.87006,                0.31077,                0.35537,                0.87055,                0.97959,                0.95944,                0.98643,                0.97855,                0.15873,                0.16582,                0.78479,                0.18279,                0.13398,                0.79865,              0.0001431,              0.0001431,              0.0001431
                     91,                 0.1955,                0.30666,                0.81214,                0.23238,                0.29132,                0.84732,                0.97959,                0.97353,                0.98617,                0.97243,                0.16064,                0.14065,                0.78482,                0.19369,                0.13756,                0.80756,              0.0001321,              0.0001321,              0.0001321
                     92,                0.19024,                0.19057,                0.81541,                0.22171,                0.15134,                0.85223,                0.94029,                0.95542,                0.98192,                0.97393,                 0.1566,                0.27252,                 0.7817,                0.19045,                0.27091,                0.80226,              0.0001211,              0.0001211,              0.0001211
                     93,                0.18992,                 0.1843,                0.81588,                0.22267,                0.15409,                 0.8524,                0.98858,                 0.9611,                0.98506,                0.97679,                0.15692,                0.14369,                0.78285,                0.18043,                 0.1523,                0.80259,              0.0001101,              0.0001101,              0.0001101
                     94,                0.18061,                0.16882,                0.80004,                0.20795,                 0.1499,                0.82508,                0.99169,                0.97987,                0.98706,                 0.9758,                0.15695,                0.14009,                0.78048,                0.18697,                0.11113,                0.80134,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 0.1831,                0.27598,                0.81087,                0.21526,                0.25601,                0.84099,                0.97069,                0.97992,                0.98601,                0.97571,                0.15288,                0.13181,                0.77962,                0.17623,                0.10537,                0.79221,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.18164,                0.23871,                0.80919,                0.20564,                0.22823,                0.83307,                0.97539,                0.96396,                0.98695,                0.97887,                0.14652,                0.13829,                 0.7791,                0.16482,                0.14373,                0.79076,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 0.1753,                0.19133,                0.80543,                0.19804,                 0.1819,                0.83455,                0.99013,                0.95348,                0.98626,                0.98006,                0.14821,                0.13608,                0.77788,                0.16723,                0.13718,                0.79058,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.17929,                 0.1583,                0.80019,                0.20671,                0.14622,                0.82686,                 0.9894,                0.96447,                0.98639,                0.98012,                0.14605,                 0.1337,                0.77839,                0.16342,                0.12691,                0.79584,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.17654,                0.15278,                0.80595,                 0.2003,                0.12554,                0.83212,                0.98782,                0.96957,                0.98625,                0.98169,                0.14828,                0.13761,                0.77958,                0.16403,                0.11072,                0.79058,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.17486,                 0.1828,                0.80051,                0.19755,                0.13754,                0.82938,                0.99159,                0.98429,                0.98689,                0.98346,                0.14473,                0.13266,                0.78016,                0.15748,                0.11257,                0.78923,             3.3108e-05,             3.3108e-05,             3.3108e-05
